rubro,provincia,anio,value
Total,Córdoba,2009,7027.144
Total,Entre Ríos,2009,1104.619
Total,La Pampa,2009,196.39
Total,Santa Fe,2009,12971.333
Total,Chubut,2009,2926.795
Total,Neuquén,2009,415.383
Total,Río Negro,2009,480.007
Total,Santa Cruz,2009,1345.991
Total,Tierra del Fuego,2009,334.638
Total,Catamarca,2009,1296.955
Total,Jujuy,2009,403.948
Total,La Rioja,2009,222.988
Total,Salta,2009,896.622
Total,Santiago del Estero,2009,87.118
Total,Tucumán,2009,781.344
Total,Mendoza,2009,1529.36
Total,San Juan,2009,1135.183
Total,San Luis,2009,473.188
Total,Chaco,2009,169.807
Total,Corrientes,2009,181.833
Total,Formosa,2009,29.522
Total,Misiones,2009,451.55
Productos primarios,Total País,2009,9256.871
Productos primarios,Buenos Aires,2009,2078.681
Productos primarios,Capital Federal,2009,0
Productos primarios,Córdoba,2009,1769.303
Productos primarios,Entre Ríos,2009,425.612
Productos primarios,La Pampa,2009,123.414
Productos primarios,Santa Fe,2009,813.032
Productos primarios,Chubut,2009,222.752
Productos primarios,Neuquén,2009,59.772
Productos primarios,Río Negro,2009,357.454
Productos primarios,Santa Cruz,2009,343.866
Productos primarios,Tierra del Fuego,2009,52.363
Productos primarios,Catamarca,2009,1158.075
Productos primarios,Jujuy,2009,183.818
Productos primarios,La Rioja,2009,1.926
Productos primarios,Salta,2009,450.541
Productos primarios,Santiago del Estero,2009,68.968
Productos primarios,Tucumán,2009,268.992
Productos primarios,Mendoza,2009,231.839
Productos primarios,San Juan,2009,98.273
Productos primarios,San Luis,2009,72.052
Productos primarios,Chaco,2009,113.374
Productos primarios,Corrientes,2009,139.61
Productos primarios,Formosa,2009,10.058
Productos primarios,Misiones,2009,122.3
Manufacturas de origen agropecuario,Total País,2009,21224.929
Manufacturas de origen agropecuario,Buenos Aires,2009,4395.341
Manufacturas de origen agropecuario,Capital Federal,2009,133.758
Manufacturas de origen agropecuario,Córdoba,2009,3463.912
Manufacturas de origen agropecuario,Entre Ríos,2009,376.863
Manufacturas de origen agropecuario,La Pampa,2009,64.937
Manufacturas de origen agropecuario,Santa Fe,2009,10013.624
Manufacturas de origen agropecuario,Chubut,2009,155.579
Manufacturas de origen agropecuario,Neuquén,2009,38.335
Manufacturas de origen agropecuario,Río Negro,2009,62.536
Manufacturas de origen agropecuario,Santa Cruz,2009,39.145
Manufacturas de origen agropecuario,Tierra del Fuego,2009,63.088
Manufacturas de origen agropecuario,Catamarca,2009,35.9
Manufacturas de origen agropecuario,Jujuy,2009,170.234
Manufacturas de origen agropecuario,La Rioja,2009,116.586
Manufacturas de origen agropecuario,Salta,2009,104.724
Manufacturas de origen agropecuario,Santiago del Estero,2009,0.96
Manufacturas de origen agropecuario,Tucumán,2009,302.328
Manufacturas de origen agropecuario,Mendoza,2009,848.279
Manufacturas de origen agropecuario,San Juan,2009,180.502
Manufacturas de origen agropecuario,San Luis,2009,173.376
Manufacturas de origen agropecuario,Chaco,2009,48.881
Manufacturas de origen agropecuario,Corrientes,2009,32.35
Manufacturas de origen agropecuario,Formosa,2009,5.855
Manufacturas de origen agropecuario,Misiones,2009,188.891
Manufacturas de origen industrial,Total País,2009,18733.692
Manufacturas de origen industrial,Buenos Aires,2009,10129.203
Manufacturas de origen industrial,Capital Federal,2009,243.631
Manufacturas de origen industrial,Córdoba,2009,1793.864
Manufacturas de origen industrial,Entre Ríos,2009,77.008
Manufacturas de origen industrial,La Pampa,2009,3.798
Manufacturas de origen industrial,Santa Fe,2009,2013.991
Manufacturas de origen industrial,Chubut,2009,564.24
Manufacturas de origen industrial,Neuquén,2009,28.711
Manufacturas de origen industrial,Río Negro,2009,29.893
Manufacturas de origen industrial,Santa Cruz,2009,417.782
Manufacturas de origen industrial,Tierra del Fuego,2009,69.274
Manufacturas de origen industrial,Catamarca,2009,102.981
Manufacturas de origen industrial,Jujuy,2009,49.896
Manufacturas de origen industrial,La Rioja,2009,104.475
Manufacturas de origen industrial,Salta,2009,70.059
Manufacturas de origen industrial,Santiago del Estero,2009,17.19
Manufacturas de origen industrial,Tucumán,2009,207.988
Manufacturas de origen industrial,Mendoza,2009,334.126
Manufacturas de origen industrial,San Juan,2009,856.408
Manufacturas de origen industrial,San Luis,2009,227.758
Manufacturas de origen industrial,Chaco,2009,7.509
Manufacturas de origen industrial,Corrientes,2009,9.859
Manufacturas de origen industrial,Formosa,2009,1.771
Manufacturas de origen industrial,Misiones,2009,140.359
Combustibles y energía,Total País,2009,6456.605
Combustibles y energía,Buenos Aires,2009,1771.1
Combustibles y energía,Capital Federal,2009,0
Combustibles y energía,Córdoba,2009,0
Combustibles y energía,Entre Ríos,2009,225.136
Combustibles y energía,La Pampa,2009,4.241
Combustibles y energía,Santa Fe,2009,130.685
Combustibles y energía,Chubut,2009,1984.224
Combustibles y energía,Neuquén,2009,288.566
Combustibles y energía,Río Negro,2009,30.124
Combustibles y energía,Santa Cruz,2009,545.197
Combustibles y energía,Tierra del Fuego,2009,149.912
Combustibles y energía,Catamarca,2009,0
Combustibles y energía,Jujuy,2009,0
Combustibles y energía,La Rioja,2009,0
